province,max,min,wind,rain,humidi,cloud,pressure,date
Ha Noi,24,17,6,3.1,85,99,1017,4/1/2009
Ha Noi,23,17,6,2.1,85,91,1016,4/2/2009
Ha Noi,30,19,5,0.5,83,64,1014,4/3/2009
Ha Noi,31,20,8,4.9,82,54,1013,4/4/2009
Ha Noi,22,20,8,5.6,89,83,1016,4/5/2009
Ha Noi,28,19,7,0,67,27,1015,4/6/2009
Ha Noi,30,17,6,0,71,23,1014,4/7/2009
Ha Noi,27,19,7,0.4,82,73,1013,4/8/2009
Ha Noi,31,22,10,0.9,78,58,1012,4/9/2009
Ha Noi,27,23,10,0.5,85,85,1012,4/10/2009
Ha Noi,28,23,11,0.6,83,68,1011,4/11/2009
Ha Noi,31,23,9,0.5,81,45,1008,4/12/2009
Ha Noi,36,22,8,1.8,76,35,1006,4/13/2009
Ha Noi,35,23,5,3.3,75,25,1008,4/14/2009
Ha Noi,34,24,7,0.5,77,35,1006,4/15/2009
Ha Noi,37,23,7,0,71,31,1003,4/16/2009
Ha Noi,35,24,11,2.4,76,38,1003,4/17/2009
Ha Noi,36,25,10,0.4,73,51,1003,4/18/2009
Ha Noi,40,27,7,0,51,17,1002,4/19/2009
Ha Noi,34,25,9,0.8,55,38,1006,4/20/2009
Ha Noi,35,23,6,0,54,26,1006,4/21/2009
Ha Noi,36,23,9,0.1,62,20,1006,4/22/2009
Ha Noi,40,24,11,2.5,66,25,1005,4/23/2009
Ha Noi,39,26,8,1.4,68,25,1005,4/24/2009
Ha Noi,32,24,10,3.5,64,43,1012,4/25/2009
Ha Noi,33,24,7,0,51,12,1014,4/26/2009
Ha Noi,31,22,8,0,67,33,1013,4/27/2009
Ha Noi,29,22,8,1.1,79,78,1013,4/28/2009
Ha Noi,24,23,8,14.1,95,91,1013,4/29/2009
Ha Noi,26,23,8,2.4,90,87,1013,4/30/2009
Ha Noi,30,22,9,1.6,81,61,1014,5/1/2009
Ha Noi,33,22,5,0,67,34,1015,5/2/2009
Ha Noi,33,23,6,0,61,27,1015,5/3/2009
Ha Noi,33,21,7,0,63,30,1013,5/4/2009
Ha Noi,33,20,8,0,68,22,1011,5/5/2009
Ha Noi,32,23,10,0.2,68,54,1009,5/6/2009
Ha Noi,29,23,9,9.5,83,66,1007,5/7/2009
Ha Noi,30,23,13,15.6,88,87,1006,5/8/2009
Ha Noi,27,24,11,2.7,93,96,1005,5/9/2009
Ha Noi,29,24,10,13.3,92,76,1006,5/10/2009
Ha Noi,31,24,10,10.1,89,56,1008,5/11/2009
Ha Noi,31,24,8,14.8,88,41,1009,5/12/2009
Ha Noi,30,23,7,9.2,88,54,1008,5/13/2009
Ha Noi,29,23,8,9.9,91,48,1008,5/14/2009
Ha Noi,28,24,10,16.6,94,82,1009,5/15/2009
Ha Noi,29,24,9,13.7,94,71,1010,5/16/2009
Ha Noi,29,25,8,19.2,96,61,1010,5/17/2009
Ha Noi,32,25,7,20.3,92,60,1008,5/18/2009
Ha Noi,32,25,8,11.9,89,62,1006,5/19/2009
Ha Noi,30,23,7,14.4,92,61,1006,5/20/2009
Ha Noi,26,22,5,16.1,94,87,1009,5/21/2009
Ha Noi,28,23,5,11.6,92,72,1009,5/22/2009
Ha Noi,31,23,6,1.7,86,43,1007,5/23/2009
Ha Noi,33,24,6,4.3,87,38,1006,5/24/2009
Ha Noi,34,24,6,5,84,41,1006,5/25/2009
Ha Noi,32,24,6,6.2,88,51,1005,5/26/2009
Ha Noi,32,24,7,6.4,88,46,1003,5/27/2009
Ha Noi,32,25,7,16.3,90,46,1005,5/28/2009
Ha Noi,24,21,12,8.6,90,92,1011,5/29/2009
Ha Noi,30,21,7,0.1,80,45,1012,5/30/2009
Ha Noi,32,22,5,0,77,41,1009,5/31/2009
Ha Noi,31,22,8,16,86,35,1005,6/1/2009
Ha Noi,34,25,6,32.1,88,42,1001,6/2/2009
Ha Noi,31,25,7,12.3,84,55,1001,6/3/2009
Ha Noi,36,23,4,0,78,12,1002,6/4/2009
Ha Noi,35,24,4,0.6,78,32,1003,6/5/2009
Ha Noi,32,26,6,3.2,83,48,1002,6/6/2009
Ha Noi,35,25,6,2.6,79,47,1001,6/7/2009
Ha Noi,38,26,7,1.2,75,43,1001,6/8/2009
Ha Noi,38,26,5,2.4,77,33,1003,6/9/2009
Ha Noi,38,26,5,2.3,76,47,1004,6/10/2009
Ha Noi,32,26,5,9.2,86,44,1004,6/11/2009
Ha Noi,36,26,5,1.7,79,25,1003,6/12/2009
Ha Noi,35,26,5,1.2,78,34,1004,6/13/2009
Ha Noi,35,27,4,4.6,77,29,1003,6/14/2009
Ha Noi,33,26,5,18.7,85,29,1003,6/15/2009
Ha Noi,30,26,6,20.4,89,49,1004,6/16/2009
Ha Noi,32,25,5,9.7,88,41,1005,6/17/2009
Ha Noi,34,25,6,3.3,83,38,1003,6/18/2009
Ha Noi,37,26,4,2.6,76,33,1001,6/19/2009
Ha Noi,40,27,4,2,73,30,1001,6/20/2009
Ha Noi,40,28,5,1.5,70,27,1001,6/21/2009
Ha Noi,38,28,4,4.1,71,34,1001,6/22/2009
Ha Noi,35,27,4,7.4,82,24,1003,6/23/2009
Ha Noi,36,27,5,11.4,82,31,1004,6/24/2009
Ha Noi,37,27,4,1.1,76,39,1002,6/25/2009
Ha Noi,30,27,4,2.3,89,66,1002,6/26/2009
Ha Noi,32,25,5,0.5,82,52,1002,6/27/2009
Ha Noi,33,25,7,4.1,80,56,1002,6/28/2009
Ha Noi,34,25,7,3.2,79,53,1003,6/29/2009
Ha Noi,33,26,5,10.9,80,48,1004,6/30/2009
Ha Noi,32,26,3,6.7,85,57,1006,7/1/2009
Ha Noi,37,26,5,1.3,75,36,1005,7/2/2009
Ha Noi,33,26,5,4.3,83,51,1003,7/3/2009
Ha Noi,25,25,8,8.7,96,72,1002,7/4/2009
Ha Noi,28,24,9,1.6,92,62,1003,7/5/2009
Ha Noi,28,24,7,14.7,94,72,1006,7/6/2009
Ha Noi,32,24,7,0.4,84,49,1007,7/7/2009
Ha Noi,32,24,7,4.2,83,22,1006,7/8/2009
Ha Noi,34,25,5,5.5,82,26,1005,7/9/2009
Ha Noi,36,26,5,5.2,78,24,1003,7/10/2009
Ha Noi,37,26,5,8,79,22,1001,7/11/2009
Ha Noi,33,27,6,29.2,86,47,1001,7/12/2009
Ha Noi,30,25,8,32.9,93,63,1003,7/13/2009
Ha Noi,33,25,3,12.4,87,30,1004,7/14/2009
Ha Noi,34,26,4,9.1,84,20,1004,7/15/2009
Ha Noi,33,25,5,8.5,86,38,1003,7/16/2009
Ha Noi,29,25,6,40.1,95,72,1002,7/17/2009
Ha Noi,35,25,4,2.9,85,33,1003,7/18/2009
Ha Noi,38,26,5,4.3,81,19,1000,7/19/2009
Ha Noi,33,27,6,11.9,90,31,1003,7/20/2009
Ha Noi,32,26,5,11,93,66,1007,7/21/2009
Ha Noi,33,25,5,3.8,88,41,1005,7/22/2009
Ha Noi,33,25,6,3.5,86,39,1003,7/23/2009
Ha Noi,35,26,5,2.8,84,31,1002,7/24/2009
Ha Noi,36,27,5,4.6,84,38,1002,7/25/2009
Ha Noi,32,27,3,0.6,85,28,1002,7/26/2009
Ha Noi,36,26,5,1.2,77,23,1001,7/27/2009
Ha Noi,31,26,5,8.8,89,44,1002,7/28/2009
Ha Noi,33,26,4,1.8,85,42,1003,7/29/2009
Ha Noi,33,25,4,3.1,82,30,1002,7/30/2009
Ha Noi,32,26,3,20.7,91,39,1001,7/31/2009
Ha Noi,29,26,5,42.4,96,76,1003,8/1/2009
Ha Noi,34,25,4,8.7,89,28,1002,8/2/2009
Ha Noi,38,25,5,0,81,29,1000,8/3/2009
Ha Noi,37,27,4,1.4,83,15,999,8/4/2009
Ha Noi,35,27,5,1.7,85,20,999,8/5/2009
Ha Noi,35,26,6,8,85,34,999,8/6/2009
Ha Noi,31,26,8,6.4,91,65,998,8/7/2009
Ha Noi,33,26,7,11,87,37,998,8/8/2009
Ha Noi,36,25,6,0.2,82,38,998,8/9/2009
Ha Noi,34,26,5,11.1,87,35,1001,8/10/2009
Ha Noi,32,26,4,7.3,88,36,1005,8/11/2009
Ha Noi,34,26,5,6.6,87,39,1005,8/12/2009
Ha Noi,29,25,4,2.8,94,55,1005,8/13/2009
Ha Noi,31,25,4,11.5,92,55,1007,8/14/2009
Ha Noi,33,25,5,9.1,87,41,1008,8/15/2009
Ha Noi,33,25,7,5.9,86,35,1008,8/16/2009
Ha Noi,32,25,8,4.9,88,23,1010,8/17/2009
Ha Noi,33,25,7,2,87,31,1010,8/18/2009
Ha Noi,33,25,6,2.6,86,19,1010,8/19/2009
Ha Noi,35,25,6,5.4,85,22,1008,8/20/2009
Ha Noi,34,26,7,4.9,85,17,1006,8/21/2009
Ha Noi,31,26,6,13.2,89,26,1007,8/22/2009
Ha Noi,34,24,3,3.3,84,45,1009,8/23/2009
Ha Noi,36,25,4,5.3,82,16,1009,8/24/2009
Ha Noi,36,24,4,0.2,78,18,1009,8/25/2009
Ha Noi,38,24,4,0,75,20,1008,8/26/2009
Ha Noi,36,25,5,0,75,7,1008,8/27/2009
Ha Noi,34,25,5,2,84,28,1008,8/28/2009
Ha Noi,34,25,5,3.7,85,33,1008,8/29/2009
Ha Noi,33,26,3,7.6,87,31,1009,8/30/2009
Ha Noi,32,26,5,11.5,91,45,1010,8/31/2009
Ha Noi,32,25,4,3.1,87,21,1010,9/1/2009
Ha Noi,33,24,4,2.9,87,30,1008,9/2/2009
Ha Noi,34,25,4,2.9,84,28,1007,9/3/2009
Ha Noi,34,25,5,2.2,81,22,1006,9/4/2009
Ha Noi,34,25,5,0.4,79,11,1005,9/5/2009
Ha Noi,35,24,4,1.2,80,31,1005,9/6/2009
Ha Noi,36,25,4,0.2,77,20,1007,9/7/2009
Ha Noi,37,25,5,0.4,75,12,1008,9/8/2009
Ha Noi,37,25,5,0,73,13,1008,9/9/2009
Ha Noi,36,25,4,0,74,20,1007,9/10/2009
Ha Noi,33,26,8,5.3,81,42,1006,9/11/2009
Ha Noi,27,25,11,34.6,97,91,1007,9/12/2009
Ha Noi,31,25,4,15.3,94,58,1009,9/13/2009
Ha Noi,36,25,4,2.7,84,34,1007,9/14/2009
Ha Noi,35,26,6,3.5,83,26,1003,9/15/2009
Ha Noi,30,25,5,5.6,95,74,1006,9/16/2009
Ha Noi,30,25,4,6.2,94,69,1010,9/17/2009
Ha Noi,33,24,5,5.7,87,39,1010,9/18/2009
Ha Noi,36,24,5,2.4,82,26,1008,9/19/2009
Ha Noi,37,25,5,0.7,79,14,1008,9/20/2009
Ha Noi,34,24,8,6.8,89,51,1011,9/21/2009
Ha Noi,31,22,5,0.3,84,43,1012,9/22/2009
Ha Noi,33,23,4,0.1,78,20,1009,9/23/2009
Ha Noi,32,24,6,5,82,51,1010,9/24/2009
Ha Noi,29,24,8,43,95,68,1009,9/25/2009
Ha Noi,30,24,5,29.6,94,49,1010,9/26/2009
Ha Noi,31,24,9,13.3,90,22,1009,9/27/2009
Ha Noi,32,23,13,0.1,78,7,1007,9/28/2009
Ha Noi,24,22,12,1.7,84,58,1007,9/29/2009
Ha Noi,25,22,14,5.4,88,75,1009,9/30/2009
Ha Noi,25,22,10,4.4,95,79,1012,10/1/2009
Ha Noi,31,23,5,2.9,91,60,1013,10/2/2009
Ha Noi,34,24,5,0.3,81,19,1011,10/3/2009
Ha Noi,34,24,4,0,78,9,1012,10/4/2009
Ha Noi,33,25,5,0.6,75,19,1012,10/5/2009
Ha Noi,35,23,5,0,66,2,1011,10/6/2009
Ha Noi,35,22,4,0,68,2,1010,10/7/2009
Ha Noi,32,21,5,0,72,25,1009,10/8/2009
Ha Noi,32,22,5,0,76,26,1009,10/9/2009
Ha Noi,31,23,5,5.2,87,45,1011,10/10/2009
Ha Noi,29,23,6,3.6,86,54,1013,10/11/2009
Ha Noi,32,23,8,0,72,28,1013,10/12/2009
Ha Noi,23,21,12,45.8,90,75,1012,10/13/2009
Ha Noi,21,19,14,10.7,95,99,1015,10/14/2009
Ha Noi,23,19,10,20.8,96,92,1016,10/15/2009
Ha Noi,29,20,5,0,89,46,1014,10/16/2009
Ha Noi,31,22,5,2.1,85,38,1010,10/17/2009
Ha Noi,33,22,3,0,81,12,1009,10/18/2009
Ha Noi,33,23,3,0.2,80,14,1010,10/19/2009
Ha Noi,27,23,9,8.6,90,66,1012,10/20/2009
Ha Noi,28,21,7,0.8,86,76,1014,10/21/2009
Ha Noi,22,21,5,2.7,91,80,1016,10/22/2009
Ha Noi,31,20,6,0,82,26,1013,10/23/2009
Ha Noi,31,20,6,0,84,38,1011,10/24/2009
Ha Noi,29,24,7,1,87,35,1012,10/25/2009
Ha Noi,29,23,6,1.4,88,34,1014,10/26/2009
Ha Noi,28,22,7,0.6,89,47,1014,10/27/2009
Ha Noi,30,21,8,0.3,85,33,1016,10/28/2009
Ha Noi,28,21,5,2,89,47,1016,10/29/2009
Ha Noi,27,20,6,0.2,89,27,1016,10/30/2009
Ha Noi,31,19,4,0,82,35,1015,10/31/2009
Ha Noi,31,21,9,1.6,80,37,1017,11/1/2009
Ha Noi,25,19,12,0.3,63,21,1024,11/2/2009
Ha Noi,23,15,6,0,53,19,1025,11/3/2009
Ha Noi,24,15,4,0,57,34,1023,11/4/2009
Ha Noi,28,16,4,0,57,7,1020,11/5/2009
Ha Noi,31,16,5,0,57,21,1015,11/6/2009
Ha Noi,33,19,4,0,72,6,1012,11/7/2009
Ha Noi,33,20,6,0,78,35,1011,11/8/2009
Ha Noi,35,22,6,0,76,32,1007,11/9/2009
Ha Noi,36,23,5,0,71,8,1005,11/10/2009
Ha Noi,37,23,6,0,66,5,1005,11/11/2009
Ha Noi,36,22,7,2.9,76,28,1011,11/12/2009
Ha Noi,21,17,7,1.1,77,67,1017,11/13/2009
Ha Noi,25,17,6,0,67,74,1014,11/14/2009
Ha Noi,16,15,7,2.4,86,100,1012,11/15/2009
Ha Noi,14,13,8,3.2,90,100,1018,11/16/2009
Ha Noi,17,11,10,0.7,70,52,1025,11/17/2009
Ha Noi,20,10,5,0,57,37,1024,11/18/2009
Ha Noi,19,11,6,0,60,34,1025,11/19/2009
Ha Noi,16,10,10,0,61,47,1027,11/20/2009
Ha Noi,18,10,9,0,61,37,1027,11/21/2009
Ha Noi,22,11,5,0,58,19,1023,11/22/2009
Ha Noi,27,12,4,0,57,5,1019,11/23/2009
Ha Noi,27,14,5,0,67,9,1016,11/24/2009
Ha Noi,30,14,3,0,76,24,1015,11/25/2009
Ha Noi,29,16,6,0,76,35,1014,11/26/2009
Ha Noi,30,19,6,0,76,30,1016,11/27/2009
Ha Noi,29,18,5,0.4,78,34,1017,11/28/2009
Ha Noi,26,18,7,0.8,80,33,1019,11/29/2009
Ha Noi,27,19,6,0.8,79,36,1021,11/30/2009
Ha Noi,26,16,6,0,70,21,1021,12/1/2009
Ha Noi,27,17,5,0.1,69,37,1020,12/2/2009
Ha Noi,24,16,9,0.3,59,27,1022,12/3/2009
Ha Noi,26,14,5,0,70,29,1019,12/4/2009
Ha Noi,26,16,4,0.2,63,30,1019,12/5/2009
Ha Noi,27,14,7,0,72,19,1015,12/6/2009
Ha Noi,30,18,6,0.2,76,44,1014,12/7/2009
Ha Noi,28,18,8,0.5,81,53,1014,12/8/2009
Ha Noi,25,19,9,0.9,86,69,1014,12/9/2009
Ha Noi,27,17,6,0.4,83,60,1014,12/10/2009
Ha Noi,30,19,10,0,76,47,1013,12/11/2009
Ha Noi,29,19,10,0.1,78,46,1015,12/12/2009
Ha Noi,28,18,7,0,79,38,1016,12/13/2009
Ha Noi,29,18,10,0,77,42,1015,12/14/2009
Ha Noi,33,19,7,1,74,59,1016,12/15/2009
Ha Noi,19,16,6,2.2,73,94,1020,12/16/2009
Ha Noi,15,12,8,1.5,78,93,1023,12/17/2009
Ha Noi,16,12,6,0.7,73,94,1025,12/18/2009
Ha Noi,16,12,7,0.7,68,95,1028,12/19/2009
Ha Noi,14,12,6,0.4,66,74,1027,12/20/2009
Ha Noi,19,12,4,0,63,42,1025,12/21/2009
Ha Noi,24,10,4,0,68,25,1020,12/22/2009
Ha Noi,26,14,6,0,82,49,1016,12/23/2009
Ha Noi,31,15,5,0,77,35,1014,12/24/2009
Ha Noi,27,18,6,0.2,85,62,1014,12/25/2009
Ha Noi,28,20,6,1.4,83,58,1012,12/26/2009
Ha Noi,23,15,10,1.4,84,78,1016,12/27/2009
Ha Noi,22,14,5,0.3,64,28,1017,12/28/2009
Ha Noi,23,16,3,0.5,82,56,1012,12/29/2009
Ha Noi,21,15,5,0.6,87,91,1014,12/30/2009
Ha Noi,19,17,5,2,87,99,1015,12/31/2009
Ha Noi,18,17,5,4.4,92,100,1015,1/1/2010
Ha Noi,19,17,6,2.1,90,93,1016,1/2/2010
Ha Noi,20,17,4,0.6,89,78,1016,1/3/2010
Ha Noi,25,17,7,0.5,89,82,1011,1/4/2010
Ha Noi,30,19,6,0,82,59,1010,1/5/2010
Ha Noi,18,17,7,2.9,88,97,1016,1/6/2010
Ha Noi,16,15,7,10.5,90,100,1019,1/7/2010
Ha Noi,21,13,7,0.3,81,55,1019,1/8/2010
Ha Noi,24,14,7,0,88,68,1014,1/9/2010
Ha Noi,28,17,6,0.1,82,60,1013,1/10/2010
Ha Noi,15,13,9,3.4,85,100,1019,1/11/2010
Ha Noi,12,11,7,3.4,83,80,1025,1/12/2010
Ha Noi,12,11,5,1.5,78,59,1026,1/13/2010
Ha Noi,19,10,3,0,71,44,1024,1/14/2010
Ha Noi,23,13,5,0.4,78,60,1022,1/15/2010
Ha Noi,18,14,6,5.7,86,80,1025,1/16/2010
Ha Noi,24,14,4,0,78,46,1025,1/17/2010
Ha Noi,24,13,5,0,77,8,1022,1/18/2010
Ha Noi,29,15,5,0,79,4,1018,1/19/2010
Ha Noi,24,17,3,4.3,88,66,1018,1/20/2010
Ha Noi,20,19,5,18.8,97,100,1017,1/21/2010
Ha Noi,20,15,7,44.5,96,100,1018,1/22/2010
Ha Noi,14,13,6,31.9,95,93,1021,1/23/2010
Ha Noi,18,14,4,0.6,92,79,1020,1/24/2010
Ha Noi,17,14,5,1.2,93,98,1022,1/25/2010
Ha Noi,16,14,4,0.5,89,97,1022,1/26/2010
Ha Noi,21,14,3,0.2,90,82,1018,1/27/2010
Ha Noi,25,14,4,0.3,91,70,1016,1/28/2010
Ha Noi,24,18,6,0.7,93,84,1016,1/29/2010
Ha Noi,29,19,10,0,86,51,1014,1/30/2010
Ha Noi,31,19,7,0,81,34,1013,1/31/2010
Ha Noi,31,19,7,0,81,25,1013,2/1/2010
Ha Noi,34,20,8,0,77,33,1011,2/2/2010
Ha Noi,32,21,10,0.2,79,27,1012,2/3/2010
Ha Noi,30,21,11,1.6,83,46,1013,2/4/2010
Ha Noi,29,22,12,5.7,84,48,1012,2/5/2010
Ha Noi,32,22,11,1.5,82,38,1012,2/6/2010
Ha Noi,32,22,8,0,81,28,1013,2/7/2010
Ha Noi,33,21,9,0,74,25,1011,2/8/2010
Ha Noi,36,23,10,0,61,2,1009,2/9/2010
Ha Noi,38,22,10,0,50,2,1008,2/10/2010
Ha Noi,40,22,8,0,42,0,1011,2/11/2010
Ha Noi,18,16,9,1.3,73,77,1019,2/12/2010
Ha Noi,18,14,6,0.6,78,86,1017,2/13/2010
Ha Noi,21,17,7,0.6,80,86,1013,2/14/2010
Ha Noi,16,14,7,1.7,79,94,1018,2/15/2010
Ha Noi,13,11,6,1,78,83,1021,2/16/2010
Ha Noi,12,10,6,0.9,76,97,1023,2/17/2010
Ha Noi,11,10,5,1.5,77,99,1024,2/18/2010
Ha Noi,18,10,5,1.5,72,68,1023,2/19/2010
Ha Noi,21,10,5,0,73,49,1018,2/20/2010
Ha Noi,24,13,4,0.1,84,78,1015,2/21/2010
Ha Noi,31,17,5,0.1,76,32,1014,2/22/2010
Ha Noi,30,17,6,0.2,80,52,1011,2/23/2010
Ha Noi,36,19,8,0,62,6,1005,2/24/2010
Ha Noi,36,19,7,0,40,18,1006,2/25/2010
Ha Noi,40,23,6,0,37,0,1007,2/26/2010
Ha Noi,42,22,6,0,42,2,1008,2/27/2010
Ha Noi,39,23,9,0,55,7,1009,2/28/2010
Ha Noi,40,24,9,0,57,5,1009,3/1/2010
Ha Noi,42,26,8,0,46,0,1007,3/2/2010
Ha Noi,44,25,8,0,38,0,1006,3/3/2010
Ha Noi,42,24,7,0,42,2,1005,3/4/2010
Ha Noi,42,25,8,0,35,0,1005,3/5/2010
Ha Noi,45,25,8,0,32,1,1007,3/6/2010
Ha Noi,27,20,10,0,57,46,1014,3/7/2010
Ha Noi,25,17,9,0.9,67,77,1016,3/8/2010
Ha Noi,15,13,10,1.2,58,78,1027,3/9/2010
Ha Noi,21,13,5,0,38,39,1027,3/10/2010
Ha Noi,24,11,6,0,43,24,1022,3/11/2010
Ha Noi,28,14,6,0,73,20,1016,3/12/2010
Ha Noi,35,18,8,0.4,71,37,1011,3/13/2010
Ha Noi,40,22,8,0,59,4,1008,3/14/2010
Ha Noi,36,23,7,0.8,64,13,1011,3/15/2010
Ha Noi,20,18,9,3.7,73,83,1020,3/16/2010
Ha Noi,29,16,5,0,67,39,1021,3/17/2010
Ha Noi,31,19,6,0,69,49,1020,3/18/2010
Ha Noi,32,19,10,0,68,14,1014,3/19/2010
Ha Noi,35,19,7,0,71,29,1011,3/20/2010
Ha Noi,31,21,8,1.8,76,44,1012,3/21/2010
Ha Noi,33,21,14,0.4,75,47,1008,3/22/2010
Ha Noi,37,23,12,0,68,30,1006,3/23/2010
Ha Noi,38,23,11,0,64,26,1006,3/24/2010
Ha Noi,26,17,13,0.4,44,38,1020,3/25/2010
Ha Noi,27,15,9,0,41,6,1020,3/26/2010
Ha Noi,29,14,6,0.1,63,23,1019,3/27/2010
Ha Noi,31,16,5,0,65,25,1018,3/28/2010
Ha Noi,29,17,9,0,68,42,1016,3/29/2010
Ha Noi,30,20,11,2.7,76,57,1014,3/30/2010
Ha Noi,32,20,11,7,78,55,1012,3/31/2010
Ha Noi,37,22,10,0.7,71,26,1010,4/1/2010
Ha Noi,23,21,7,8.1,91,95,1014,4/2/2010
Ha Noi,22,20,5,3.6,91,97,1015,4/3/2010
Ha Noi,28,20,7,2.4,90,73,1011,4/4/2010
Ha Noi,32,22,8,0.5,85,52,1008,4/5/2010
